platform,team,event_title,event_date,event_time,venue,city,price_text,price_int,url
VividSeats,Lakers,Denver Nuggets at Los Angeles Lakers,Mar 14,5:30pm,Crypto.com Arena,"Los Angeles, CA",From $85,85,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-14-2026--sports-nba-basketball/production/5939853
VividSeats,Lakers,Los Angeles Lakers at Houston Rockets,Mar 16,8:00pm,Toyota Center - TX,"Houston, TX",From $95,95,https://www.vividseats.com/houston-rockets-tickets-toyota-center---tx-3-16-2026--sports-nba-basketball/production/5941093
VividSeats,Lakers,Los Angeles Lakers at Houston Rockets,Mar 18,8:30pm,Toyota Center - TX,"Houston, TX",From $106,106,https://www.vividseats.com/houston-rockets-tickets-toyota-center---tx-3-18-2026--sports-nba-basketball/production/5941101
VividSeats,Lakers,Los Angeles Lakers at Miami Heat,Mar 19,8:00pm,Kaseya Center,"Miami, FL",From $187,187,https://www.vividseats.com/miami-heat-tickets-kaseya-center-3-19-2026--sports-nba-basketball/production/5939639
VividSeats,Lakers,Los Angeles Lakers at Orlando Magic,Mar 21,7:00pm,Kia Center,"Orlando, FL",From $194,194,https://www.vividseats.com/orlando-magic-tickets-kia-center-3-21-2026--sports-nba-basketball/production/5940598
VividSeats,Lakers,Los Angeles Lakers at Detroit Pistons,Mar 23,7:00pm,Little Caesars Arena,"Detroit, MI",From $129,129,https://www.vividseats.com/detroit-pistons-tickets-little-caesars-arena-3-23-2026--sports-nba-basketball/production/5939952
VividSeats,Lakers,Los Angeles Lakers at Indiana Pacers,Mar 25,7:00pm,Gainbridge Fieldhouse,"Indianapolis, IN",From $48,48,https://www.vividseats.com/indiana-pacers-tickets-gainbridge-fieldhouse-3-25-2026--sports-nba-basketball/production/5940737
VividSeats,Lakers,Brooklyn Nets at Los Angeles Lakers,Mar 27,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $95,95,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-27-2026--sports-nba-basketball/production/5939860
VividSeats,Lakers,Washington Wizards at Los Angeles Lakers,Mar 30,7:00pm,Crypto.com Arena,"Los Angeles, CA",From $58,58,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-30-2026--sports-nba-basketball/production/5939578
VividSeats,Lakers,Cleveland Cavaliers at Los Angeles Lakers,Mar 31,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $58,58,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-31-2026--sports-nba-basketball/production/5939579
